date,round,home_team,home_score,away_team,away_score,home_result
7/8/18,Round 1,Portland Timbers,2,San Jose Earthquakes,1,1
7/9/18,Round 1,New York City FC,1,New York Red Bulls,0,1
7/12/18,Round 1,New York City FC,3,Montreal Impact,0,3
7/12/18,Round 1,Chicago Fire,3,Philadelphia Union,4,-1
7/15/18,Round 1,DC United,3,Vancouver Whitecaps,1,2
7/15/18,Round 1,New York City FC,2,Columbus Crew,0,2
7/15/18,Round 1,New York Red Bulls,3,Sporting Kansas City,2,1
7/15/18,Round 1,New England Rev.,2,L.A. Galaxy,3,-1
7/15/18,Round 1,Montreal Impact,2,San Jose Earthquakes,0,2
7/15/18,Round 1,Minnesota United,3,Real Salt Lake,2,1
7/15/18,Round 1,FC Dallas,3,Chicago Fire,1,2
7/15/18,Round 1,Orlando City,2,Toronto FC,1,1
7/15/18,Round 1,Colorado Rapids,0,Houston Dynamo,0,0
7/15/18,Round 1,Atlanta United,1,Seattle Sounders FC,1,0
7/15/18,Round 1,Los Angeles FC,0,Portland Timbers,0,0
7/19/18,Round 1,Minnesota United,2,New England Rev.,1,1
7/21/18,Round 1,Atlanta United,3,DC United,1,2
7/21/18,Round 1,Seattle Sounders FC,2,Vancouver Whitecaps,0,2
7/22/18,Round 1,Philadelphia Union,1,L.A. Galaxy,3,-2
7/22/18,Round 1,Chicago Fire,1,Toronto FC,2,-1
7/22/18,Round 1,New York Red Bulls,2,New England Rev.,0,2
7/22/18,Round 1,Columbus Crew,3,Orlando City,2,1
7/22/18,Round 1,Houston Dynamo,1,FC Dallas,1,0
7/22/18,Round 1,Real Salt Lake,2,Colorado Rapids,2,0
7/22/18,Round 1,Portland Timbers,2,Montreal Impact,2,0
7/23/18,Round 1,Minnesota United,5,Los Angeles FC,1,4
7/26/18,Round 1,DC United,0,New York Red Bulls,1,-1
7/26/18,Round 1,Houston Dynamo,1,Philadelphia Union,3,-2
7/26/18,Round 1,San Jose Earthquakes,0,Seattle Sounders FC,1,-1
7/27/18,Round 1,Orlando City,0,New York City FC,0,0
7/27/18,Round 1,Los Angeles FC,0,L.A. Galaxy,0,0
7/29/18,Round 1,New York Red Bulls,2,Columbus Crew,3,-1
7/29/18,Round 1,Toronto FC,3,Chicago Fire,0,3
7/29/18,Round 1,DC United,2,Colorado Rapids,1,1
7/29/18,Round 1,Montreal Impact,1,Atlanta United,2,-1
7/29/18,Round 1,Sporting Kansas City,2,FC Dallas,3,-1
7/29/18,Round 1,Portland Timbers,2,Houston Dynamo,1,1
7/29/18,Round 1,Vancouver Whitecaps,4,Minnesota United,2,2
7/29/18,Round 1,San Jose Earthquakes,0,Real Salt Lake,0,0
